age,gender,province
52,Female,Quebec
51,Male,Manitoba
63,Female,Ontario
80,Female,Alberta
28,Male,Quebec
63,Female,Quebec
58,Female,Nova Scotia
80,Female,Quebec
63,Female,British Columbia
25,Male,Saskatchewan
40,Female,Manitoba
56,Female,Prince Edward Island
26,Female,Quebec
66,Female,Quebec
30,Female,British Columbia
68,Male,Ontario
33,Female,British Columbia
73,Male,Quebec
39,Male,New Brunswick
64,Male,Ontario
25,Male,Manitoba
49,Male,British Columbia
63,Female,Quebec
78,Male,Ontario
30,Female,Ontario
19,Female,Saskatchewan
40,Female,Quebec
43,Male,Alberta
40,Female,Quebec
80,Male,Manitoba
80,Female,Quebec
71,Male,Ontario
71,Male,Newfoundland and Labrador
29,Male,British Columbia
74,Female,Ontario
18,Male,Alberta
54,Male,Ontario
80,Male,British Columbia
37,Female,Quebec
27,Female,Nova Scotia
68,Male,Quebec
53,Female,Prince Edward Island
63,Male,British Columbia
34,Male,Prince Edward Island
36,Male,Quebec
80,Female,Nova Scotia
69,Male,Ontario
26,Female,British Columbia
60,Male,Ontario
51,Female,Ontario
61,Male,Ontario
47,Female,Prince Edward Island
46,Male,Ontario
53,Female,Ontario
68,Female,Newfoundland and Labrador
45,Male,Nova Scotia
51,Male,New Brunswick
70,Female,Quebec
60,Female,Quebec
53,Female,Alberta
34,Female,Ontario
72,Female,Nova Scotia
80,Female,Alberta
65,Female,Nova Scotia
61,Female,Ontario
37,Female,Manitoba
58,Male,Quebec
80,Male,British Columbia
42,Female,Ontario
44,Male,Ontario
26,Female,British Columbia
24,Female,New Brunswick
41,Male,Quebec
26,Female,Quebec
31,Female,Quebec
57,Female,Ontario
41,Male,British Columbia
24,Female,Manitoba
54,Male,Ontario
63,Female,Ontario
57,Female,Ontario
74,Female,Newfoundland and Labrador
41,Male,Nova Scotia
59,Male,Newfoundland and Labrador
80,Female,Ontario
53,Male,Newfoundland and Labrador
35,Male,Ontario
80,Male,Ontario
73,Female,Manitoba
80,Male,British Columbia
72,Female,British Columbia
56,Female,New Brunswick
64,Female,Ontario
29,Male,Ontario
71,Male,Alberta
33,Female,Prince Edward Island
25,Male,Quebec
63,Male,British Columbia
79,Male,Quebec
43,Male,British Columbia
57,Female,Ontario
45,Female,Newfoundland and Labrador
55,Male,Ontario
24,Female,Saskatchewan
47,Male,Nova Scotia
41,Female,Ontario
64,Female,Nova Scotia
80,Female,Alberta
29,Female,British Columbia
79,Male,Newfoundland and Labrador
59,Male,Alberta
47,Male,Saskatchewan
35,Female,Alberta
22,Male,Alberta
53,Female,Saskatchewan
51,Female,Nova Scotia
45,Male,Ontario
72,Female,Ontario
73,Female,New Brunswick
70,Male,British Columbia
63,Male,Ontario
46,Male,Quebec
58,Female,Ontario
36,Female,Ontario
60,Female,Alberta
66,Male,Manitoba
78,Male,Ontario
33,Male,Quebec
76,Female,Ontario
74,Female,New Brunswick
70,Female,British Columbia
27,Male,Quebec
80,Male,Quebec
39,Male,Prince Edward Island
30,Male,Ontario
69,Male,Ontario
56,Female,Ontario
76,Female,Ontario
30,Male,Prince Edward Island
80,Male,Ontario
33,Female,Ontario
63,Female,Newfoundland and Labrador
57,Female,Ontario
41,Female,British Columbia
18,Female,Ontario
40,Male,Ontario
48,Female,Saskatchewan
65,Female,Ontario
29,Male,Prince Edward Island
33,Male,Alberta
25,Female,British Columbia
39,Female,British Columbia
69,Female,Quebec
67,Female,Saskatchewan
31,Female,Quebec
61,Female,Ontario
65,Female,Ontario
59,Male,New Brunswick
63,Female,Alberta
43,Male,Ontario
51,Female,New Brunswick
52,Female,New Brunswick
40,Female,Quebec
76,Female,Newfoundland and Labrador
62,Male,Newfoundland and Labrador
57,Male,Alberta
80,Male,Ontario
69,Male,British Columbia
64,Female,Nova Scotia
70,Male,Ontario
73,Female,Nova Scotia
80,Male,Ontario
67,Female,Saskatchewan
61,Female,Ontario
67,Male,Ontario
47,Male,Nova Scotia
52,Female,Ontario
20,Female,Manitoba
31,Female,Quebec
78,Male,Ontario
24,Female,Ontario
50,Female,Quebec
63,Male,Ontario
62,Female,Quebec
36,Female,Alberta
63,Male,Ontario
68,Female,Newfoundland and Labrador
53,Male,Newfoundland and Labrador
51,Male,Quebec
68,Male,Ontario
57,Female,Saskatchewan
51,Male,British Columbia
34,Male,British Columbia
54,Female,Saskatchewan
68,Male,Ontario
61,Female,Prince Edward Island
24,Female,Quebec
71,Female,Prince Edward Island
68,Male,Quebec
59,Male,British Columbia
41,Female,New Brunswick
66,Female,Alberta
56,Female,Quebec
69,Male,British Columbia
76,Male,British Columbia
53,Female,Ontario
76,Female,Prince Edward Island
33,Female,Ontario
30,Female,Saskatchewan
53,Female,British Columbia
53,Male,Ontario
70,Male,Ontario
65,Male,Quebec
72,Female,Quebec
37,Female,Prince Edward Island
31,Male,Quebec
53,Female,Alberta
80,Male,Ontario
61,Female,British Columbia
45,Female,Newfoundland and Labrador
65,Female,Ontario
52,Male,Ontario
32,Female,British Columbia
66,Female,Quebec
65,Male,British Columbia
63,Female,British Columbia
80,Male,Ontario
67,Female,Nova Scotia
66,Male,Saskatchewan
61,Female,British Columbia
71,Female,Ontario
40,Male,Ontario
26,Female,Ontario
57,Male,Alberta
35,Male,Saskatchewan
63,Male,Alberta
38,Female,Prince Edward Island
75,Male,Prince Edward Island
63,Male,Quebec
65,Male,Ontario
19,Female,Alberta
72,Female,New Brunswick
27,Male,Newfoundland and Labrador
45,Male,Ontario
62,Female,Quebec
28,Female,Quebec
56,Female,Saskatchewan
58,Female,Manitoba
60,Female,Alberta
66,Male,Nova Scotia
62,Male,Ontario
32,Male,Newfoundland and Labrador
39,Male,Quebec
56,Female,British Columbia
34,Male,Manitoba
47,Female,Nova Scotia
22,Male,Ontario
65,Male,British Columbia
22,Female,Manitoba
49,Female,Alberta
22,Male,Nova Scotia
65,Male,New Brunswick
