gender,age,province,cps19_votechoice,cps19_votechoice_pr,pes19_votechoice2019,vote_choice,vote_Justin_Trudeau,vote_Andrew_Scheer
Female,30,Quebec,Green Party,"NA","NA",Green Party,0,0
Female,21,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,21,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,19,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,20,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,21,Ontario,NA,ndp,"NA",ndp,0,0
Female,21,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,21,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,ndp,"NA","NA",ndp,0,0
Female,21,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,20,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,21,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,19,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,19,Ontario,ndp,"NA","NA",ndp,0,0
Male,19,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,24,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,20,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,19,Ontario,NA,Liberal Party,"NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
